SIMULATION,113.6108453,22.3797543,134.3,13.8,109.2,5.0,0.99,1.00
SIMULATION,113.6108511,22.3797482,142.7,13.1,109.8,4.5,0.90,0.84
SIMULATION,113.6108556,22.3797422,148.5,12.4,110.2,4.1,0.82,0.58
SIMULATION,113.6108591,22.3797364,152.5,11.8,110.6,3.7,0.74,0.40
SIMULATION,113.6108620,22.3797311,155.3,11.2,110.9,3.3,0.66,0.28
SIMULATION,113.6108643,22.3797262,157.2,10.6,111.1,3.0,0.60,0.19
SIMULATION,113.6108663,22.3797217,158.5,10.1,111.3,2.7,0.54,0.13
SIMULATION,113.6108680,22.3797176,159.4,9.7,111.5,2.4,0.48,0.09
SIMULATION,113.6108694,22.3797140,160.0,9.3,111.7,2.2,0.44,0.06
SIMULATION,113.6108707,22.3797106,160.4,8.9,111.8,2.0,0.39,0.04
SIMULATION,113.6108719,22.3797077,160.7,8.6,111.9,1.8,0.35,0.03
SIMULATION,113.6108729,22.3797050,160.9,8.3,112.0,1.6,0.32,0.02
SIMULATION,113.6108738,22.3797025,161.0,8.0,112.1,1.4,0.29,0.01
SIMULATION,113.6108746,22.3797004,161.1,7.8,112.2,1.3,0.26,0.01
SIMULATION,113.6108785,22.3796921,151.1,6.9,112.6,5.0,1.00,-1.00
SIMULATION,113.6108839,22.3796847,141.1,6.0,113.2,5.0,1.00,-1.00
SIMULATION,113.6108907,22.3796782,131.1,5.3,113.9,5.0,1.00,-1.00
